;Boat Name;Price
0;;
1;SHAMANNA;POA •
2;MANA;$6,575,000 •
3;AMARYLLIS;€89,000,000 •
4;GRATEFUL;€15,990,000 •
5;SEAHAWK;$10,250,000 •
6;WIDER 210;€62,400,000 •
7;KAHALANI;€42,500,000 •
8;MARGUERITE;$44,900,000 •
9;LIBERTY;$24,750,000 •
10;POLAR STAR;€59,000,000 •
11;INCENTIVIZED;$11,000,000 •
12;GATSBY;$9,250,000 •
13;ILLUSION I;€8,950,000 •
14;WALINDI;€2,650,000 •
15;MARY A;$29,500,000 •
16;STATE OF GRACE;€10,250,000 •
17;BOOK ENDS;€42,000,000 •
18;MIMI;€27,500,000 •
19;PHOENIX 2;€124,950,000 •
20;SUNSEEKER 40;$14,495,000 •
21;BERILDA;$21,000,000 •
22;DOKINHA V;$7,500,000 •
23;BARON TRENCK;€12,300,000 •
24;INSIGNIA;$5,800,000 •
25;THE GREAT ESCAPE;€8,700,000 •
26;UTOPIA IV;$47,900,000 •
27;TIARA II;POA •
28;TAWERA;€1,500,000 •
29;VAYUS;POA •
30;BERING 121;€17,500,000 •
31;GO;€19,500,000 •
32;MY STAR;€3,950,000 •
33;NL 50 PLUS;€32,900,000 •
34;SPLENDIDA;€2,500,000 •
35;80 VELOCE;€7,200,000 •
36;JICJ;€9,200,000 •
37;SERAFIM;€6,300,000 •
38;DRINKABILITY;$10,900,000 •
39;AVANTE V;$4,200,000 •
40;OCEAN DRIVE;$3,350,000 •
41;CHANTAL;€1,900,000 •
42;LIONSHARE;$3,900,000 •
43;LA PERLA;€3,000,000 •
44;KOUKLES;€2,950,000 •
45;H;€7,500,000 •
46;BLISS;€14,750,000 •
47;ALI BABA;€19,750,000 •
48;SCORPIOS;€11,500,000 •
49;NEXT CHAPTER;$19,900,000 •
50;GISA;€28,000,000 •
51;GG;$5,995,000 •
52;SANTOSH;$6,450,000 •
53;WISHING STAR;$795,000 •
54;PHOENIX;$11,700,000 •
55;HALARA;$24,900,000 •
56;CASTLEFINN;$17,950,000 •
57;QUEEN;€7,750,000 •
58;ONE MORE TIME;$6,499,000 •
59;SAILING NOUR;€1,900,000 •
60;O'PATI;€4,500,000 •
61;LADY BEATRICE;€19,750,000 •
62;NEVER SAY NEVER AGAIN;€24,995,000 •
63;LADY AZUL;€7,950,000 •
64;S7;€12,300,000 •
65;PHOENIX;€22,950,000 •
66;PROJECT STEALTH;€16,750,000 •
67;REBECCA V;€3,500,000 •
68;PROMETEJ;€5,900,000 •
69;ESMERALDA OF THE SEAS;€7,200,000 •
70;ALTAVITA;$10,250,000 •
71;BULLY;€1,950,000 •
72;ASTARTE;€1,950,000 •
73;CORSARIO;€5,300,000 •
74;BOMBADIL III;€5,995,000 •
75;MONOKINI;€9,950,000 •
76;ALL INN;$11,450,000 •
77;PRINCESS L;€2,800,000 •
78;SALIVITI;€5,500,000 •
79;Riva 90 Argo;$8,900,000 •
80;MARIA THERESA;$12,980,400 •
81;LA PEQUE;$1,300,000 •
82;DA ROSE;$2,899,000 •
83;OUR TRADE;$5,600,000 •
84;HUMBLE & HUNGRY;$3,899,000 •
85;PERSHING 5X;€1,240,000 •
86;RIVARAMA SUPER 44;€740,000 •
87;ENDLESS SUMMER;€2,950,000 •
88;NAVETTA 42;€22,500,000 •
89;DOLLY;€2,950,000 •
90;ICE;€7,350,000 •
91;ENDLESS SUMMER;$8,895,000 •
92;SPERANZA II;€9,150,000 •
93;YVONNE;€5,600,000 •
94;TAURO;€2,950,000 •
95;KIAN;€2,390,000 •
96;PRINCESS LONA;$5,190,000 •
97;MAGNUM RIDE;$4,195,000 •
98;SEAQUINN;$8,999,000 •
99;CAPRICE;$2,795,000 •
100;HELGA;€7,400,000 •
101;ENSO;€4,500,000 •
102;ROSEHEARTY;€24,995,000 •
103;NORTHERN ESCAPE;€23,900,000 •
104;CHARISMA;€13,900,000 •
105;PLEIADES;€1,900,000 •
106;CONGVOYAGE;$12,895,000 •
107;SANGHA;€18,000,000 •
108;SUMURUN;€3,650,000 •
109;RADKAT;€5,950,000 •
110;ATALANTA J;€750,000 •
111;ZIACANAIA I;€4,900,000 •
112;DADDY'S DREAM;€2,790,000 •
113;PERSHING 7x;$4,400,000 •
114;BLUEPRINT;$3,999,000 •
115;PIRATE RADIO;$2,795,000 •
116;SANDBANK;$13,500,000 •
117;CORMAR;€2,980,000 •
118;HORIZON;€5,250,000 •
119;VIKING III;€3,300,000 •
120;SHOCKWAVE;€4,250,000 •
121;ZEUS I;€8,900,000 •
122;WHIMSY;€2,250,000 •
123;ALEGRIA;$9,800,000 •
124;WHIMSEA;€3,900,000 •
125;CROCUS;€25,900,000 •
126;Y3K;€3,300,000 •
127;S-CAPE;$5,499,000 •
128;MY SECRET;€24,760,000 •
129;H;€16,500,000 •
130;LADY 8;€3,950,000 •
131;COOKIE;POA •
132;ROYAL RITA;$2,895,000 •
133;INTERCONTINENTAL;$1,580,000 •
134;AT LAST;$4,500,000 •
135;LEONROE;$1,295,000 •
136;ANNAMIA;€10,800,000 •
137;CHECKMATE;$15,900,000 •
138;LOVE N LIFE;$3,750,000 •
139;GENOA;$9,750,000 •
140;FIVE WEEKS;€2,100,000 •
141;ATOM;€4,500,000 •
142;LADY NORA;€6,500,000 •
143;GLADIUS;€4,495,000 •
144;COME TOGETHER;€65,950,000 •
145;SAGA ONE;€1,300,000 •
146;PRIVATE 2;€8,950,000 •
147;1K;€6,495,000 •
148;DARDANELLA;€9,000,000 •
149;STRADIVARIUS;€16,900,000 •
150;BOLIDE 80;POA •
151;THETIS;€7,600,000 •
152;IN THE ZONE;$5,495,000 •
153;PIPE DREAM;$17,395,000 •
154;STARSHIP;$19,750,000 •
155;GEE WHIZZ;£2,395,000 •
156;DE-DE;$7,500,000 •
157;ALECTO;$3,900,000 •
158;BEAR MARKET;€1,250,000 •
159;PERSUADER;€4,500,000 •
160;THE HIVE;€2,990,000 •
161;BLUEMAR II;€6,990,000 •
162;DONA LOLA;$9,950,000 •
163;ACACIA;$12,495,000 •
164;FLYING MANTA;€15,950,000 •
165;INSPIRATION;$15,950,000 •
166;SILVERTIP;€3,900,000 •
167;BALISTA;$13,950,000 •
168;MOONLIGHT II;€68,000,000 •
169;HEMABEJO;€17,000,000 •
170;ENCORE;$17,500,000 •
171;SL90A;€8,850,280 •
172;SOJANA;€5,500,000 •
173;LUSIA M;€10,900,000 •
174;HALCYON;$11,250,000 •
175;FAR FAR AWAY;€11,950,000 •
176;MAJIC;£9,995,000 •
177;ARIES;€31,500,000 •
178;APSORRUS;£3,595,000 •
179;MOWANA;£3,895,000 •
180;SELEN II;€2,695,000 •
181;PLAN A;€5,700,000 •
182;DOPAMINE;$13,250,000 •
183;DELTA ONE;€15,950,000 •
184;ICE BEAR;$11,500,000 •
185;YEMANJA;$1,750,000 •
186;CAPE COD;€4,300,000 •
187;CHECKERS;$2,900,000 •
188;STARBURST III;€22,900,000 •
189;NASHIRA;€5,250,000 •
190;CANVAS;€4,250,000 •
191;MA BELLA;€895,000 •
192;SANTA MARIA;€5,950,000 •
193;BESO;$8,980,000 •
194;FERRETTI 780;$6,490,000 •
195;LADY K;$13,250,000 •
196;GUL;€4,800,000 •
197;BLUE ANGEL;€14,500,000 •
198;BLOOMS;€2,850,000 •
199;NEVER ENOUGH;$14,000,000 •
200;ASTERIA;$19,900,000 •
201;SEAS TO SEE;$2,300,000 •
202;PIVOT;$3,799,999 •
203;SKYFALL;€2,750,000 •
204;SAFARI;$985,000 •
205;MYSTIC;€9,750,000 •
206;JAGUAR;€22,500,000 •
207;KATINA;€32,000,000 •
208;MRS D;POA •
209;LITTLE E;€750,000 •
210;SIGNE;€3,350,000 •
211;OBSESSION;$550,000 •
212;JEANNIETINI;$9,355,000 •
213;PURSUIT;$5,350,000 •
214;CALLIOPE;$15,500,000 •
215;CHASSEUR;$29,750,000 •
216;MAYBE;€19,950,000 •
217;FOURTH DOWN;$12,495,000 •
218;VAGABOND;$1,525,000 •
219;KALA;£3,090,000 •
220;FOUR JACKS;$12,900,000 •
221;SIDURI III;€6,790,000 •
222;LADY M;€7,950,000 •
223;WAY OF LIFE;€880,000 •
224;LORCA;€1,890,000 •
225;HARMONY III;€10,600,000 •
226;NIGHTFLOWER;€3,300,000 •
227;LADY LARA;€230,000,000 •
228;K+;€17,500,000 •
229;MISS LEEN;€9,750,000 •
230;LIONESS V;€45,000,000 •
231;KD;€33,000,000 •
232;ELETTRA;€1,850,000 •
233;GLADIUS;$9,950,000 •
234;MY LOYALTY;€25,900,000 •
235;SEAGULL MRD;€31,900,000 •
236;LOVELIEST LADY;$740,000 •
237;SANCTUARY;£3,750,000 •
238;GOLD RUSH;£4,795,000 •
239;BARTALI;€19,800,000 •
240;OLYMPUS;$28,500,000 •
241;SAVANNAH;€2,950,000 •
242;DAPPLE;€28,000,000 •
243;MY LEGACY;€44,950,000 •
244;VICTORIA DEL MAR;$24,750,000 •
245;EDGE;€4,950,000 •
246;SARP XSR-85;€5,950,000 •
247;SWG;€5,500,000 •
248;ARTISAN;POA •
249;SARABETH;$16,995,000 •
250;TLC;$7,995,000 •
251;CENTURION;€5,950,000 •
252;MYTHOS;€1,200,000 •
253;SKYLER;$21,875,000 •
254;SHEERGOLD;€5,500,000 •
255;HERMES SPEEDSTER;£114,950 •
256;KUDU;$2,299,000 •
257;NAFISA;€770,000 •
258;VENTUM MARIS;€65,000,000 •
259;VIVID;€2,100,000 •
260;ADELIA;€12,000,000 •
261;EMERA;€2,300,000 •
262;LADY J;$8,995,000 •
263;ROCKIT;$17,750,000 •
264;ASTRID CONROY;€32,000,000 •
265;AURELIA;€7,850,000 •
266;AL3AGRAB;$5,399,000 •
267;COLUMBUS;$3,950,000 •
268;GWEILO;€5,450,000 •
269;FORCE BLUE;POA •
270;AZIMUT 105;€3,470,000 •
271;STATUS QUO;$8,749,000 •
272;REFLECTIONS;$6,900,000 •
273;LADY ELAINE;$26,900,000 •
274;NO NAME;$5,795,000 •
275;CRAZY;€7,900,000 •
276;LA;€6,900,000 •
277;PREDATOR;€79,000,000 •
278;PROJECT ARTEMIS;€17,500,000 •
279;LACEY KAY;$9,950,000 •
280;KINDA;€34,000,000 •
281;AQUABELLA;€4,500,000 •
282;ALDEBARAN III;€9,500,000 •
283;BUNKER;€5,490,000 •
284;ONE MORE DAY;$2,500,000 •
285;MORNINGSTAR;$5,390,000 •
286;BLACK ROCK;€1,650,000 •
287;BLACK HAWK;€1,000,000 •
288;SAFAD;€10,900,000 •
289;DOLCE VITA;€600,000 •
290;OLYMPIC MARITIME;€620,000 •
291;DAYLAMI;€795,000 •
292;SANSSOUCI STAR;€2,250,000 •
293;EVEREAST;€6,950,000 •
294;CADET V;€5,700,000 •
295;ROCHADE;$23,950,000 •
296;OFF THE GRID;$1,750,000 •
297;FLAG;€39,500,000 •
298;SILVER EDGE;$75,000,000 •
299;LUCKY ME;€19,000,000 •
300;BOURBON LEGEND;$919,000 •
301;KIRIBATI;€23,000,000 •
302;4* PUPPIES;$7,900,000 •
303;FAMIGLIA;€4,490,000 •
304;JULIE II;€1,150,000 •
305;SELENA;€7,950,000 •
306;BUNTY;€7,500,000 •
307;STARSHIP;$5,900,000 •
308;RIBELLE;€16,500,000 •
309;LYNX;€3,400,000 •
310;DESTINY IV;$1,999,000 •
311;SECOND LOVE;$16,900,000 •
312;FAR NIENTE;$17,995,000 •
313;NEVER GIVE UP;€3,300,000 •
314;DOUBLE DOWN;$31,000,000 •
315;AMORE;$19,750,000 •
316;CUSTOM LINE 106;POA •
317;ATLAS;€19,500,000 •
318;ALDONZA;€2,750,000 •
319;SILVERCAT;$20,780,000 •
320;KENTUCKY BELLE;$1,999,000 •
321;ALDA 2;€1,790,000 •
322;SANOO;€7,500,000 •
323;NADAN;POA •
324;SP110-03;€14,000,000 •
325;AZIZAM;€2,200,000 •
326;EL CARAN;€4,500,000 •
327;OUR TRADE;$7,695,000 •
328;SAVARONA;€1,200,000 •
329;ARROW;$34,999,000 •
330;DIANA II;€11,500,000 •
331;ALEGRA;$12,950,000 •
332;PRINCESS Y72;$4,199,000 •
333;HAWK;$2,695,000 •
334;N2H;€23,500,000 •
335;DON JUAN;$1,250,000 •
336;SIRENE;$995,000 •
337;MUSTANG;$1,349,000 •
338;FIREBIRD;$449,000 •
339;HEARTBEAT;$2,599,000 •
340;FIDELITAS;€2,950,000 •
341;ENCORE;$4,500,000 •
342;SERENGETI;$7,450,000 •
343;ZEON;€35,400,000 •
344;VENOM;€35,400,000 •
345;PIRELLI 35;€419,000 •
346;PATEA;€3,250,000 •
347;MAGNA GRECIA;€15,000,000 •
348;KIA ORA;€12,900,000 •
349;CLARITA;€1,190,000 •
350;SEABREEZE;€7,950,000 •
351;TWIN FISH;€3,900,000 •
352;DEFIANT;$10,900,000 •
353;BASH IV;€8,900,000 •
354;SPIRIT OF JOSEPHINE;£1,980,000 •
355;ATALANTE 1;€3,600,000 •
356;ELYSIUM;€13,950,000 •
357;LADY SUNSHINE;€4,900,000 •
358;GALMA;€2,900,000 •
359;HOSPITALITY;$29,750,000 •
360;SHAMANNA;€11,450,000 •
361;PROJECT 206;£9,995,000 •
362;ALEXANDER AGAIN;€17,500,000 •
363;LADY GOODGIRL;€6,450,000 •
364;SPARTA;POA •
365;PALOMA;€3,300,000 •
366;AVALON;€11,500,000 •
367;LUCY;€10,980,000 •
368;BEL SOGNO;$7,900,000 •
369;ENCORE;$2,650,000 •
370;MITSEAAH;$3,250,000 •
371;LOTUS;€7,995,000 •
372;HEROINA;$2,300,000 •
373;NOSTALGIA;€11,950,000 •
374;FABULOUS CHARACTER;$20,150,000 •
375;CLOUD ATLAS;€7,400,000 •
376;EURUS;$16,645,000 •
377;MEAMINA;€27,900,000 •
378;FINALLY;$1,349,000 •
379;BELLA SOGNO;$2,975,000 •
380;SOVEREIGN;$2,100,000 •
381;SCORPION;£8,695,000 •
382;ODIN;$5,099,000 •
383;CORNELIA;€6,500,000 •
384;IRA;€9,000,000 •
385;BEYOND CAPRICORN;€5,400,000 •
386;PROJECT OCEAN;£10,995,000 •
387;ESCAPADE;€13,750,000 •
388;BEACHFRONT;$4,999,000 •
389;ELENA;€26,000,000 •
390;SHORT GAME;$7,999,000 •
391;D FIVE;€8,700,000 •
392;LADY MARISA;€5,900,000 •
393;SEA HUNTRESS;€29,750,000 •
394;CIAO;$3,950,000 •
395;WHITE DOLPHIN;€2,200,000 •
396;AQUAMARINA;€11,000,000 •
